record_id,api_name,smiles,molecular_weight,logP,pKa,aqueous_solubility_log,bcs_class,decomposition_onset_c,tg_predicted_celsius,hygroscopicity_class,polymorphism_risk_tier,particle_size_d50_um,bulk_density_g_ml,tapped_density_g_ml,true_density_g_cm3,flow_properties_carr_index,dose_mg,asd_suitability_score,excipient_name,functional_role,compatibility_tier,composite_compatibility,disc_match_score,fir_match_score,api_fir_spectrum,moisture_stability,polymorphic_risk,confidence_level,concentration_range_pct,is_most_compatible,alternatives_for_role,rejected_excipients,shap_values_per_excipient,primary_technique,technique_confidence,process_parameters,alternative_techniques,desirability_weight,rejection_reason_primary,formulation_strategy
AB-2580,Chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)SNC(=O)N2,295.93,-0.21,"[6.7, 9.5]",-3.07,IV,361.8,,low,medium,45.7,0.37,0.53,1.25,28.5,250,82.9,HPMC-AS LF,polymer_carrier,2,0.74,0.72,0.69,"{""wavenumbers"": [753, 887, 1053, 1261, 1458, 1611, 1706, 2963, 3300], ""absorbance"": [0.878, 0.15, 0.48, 0.468, 0.502, 0.841, 0.612, 0.985, 0.144], ""mw_ref"": 295.93}",0.86,0.27,0.74,"{""min"": 20, ""max"": 45, ""unit"": ""% w/w""}",False,"[{""excipient"": ""PVP K17"", ""compatibility_score"": 0.776}, {""excipient"": ""Eudragit EPO"", ""compatibility_score"": 0.747}]","[{""excipient"": ""PVP K30"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 1.493}, {""excipient"": ""PVPVA 64"", ""rejection_reason"": ""acid_base_interaction_proton_transfer"", ""chi_parameter"": 1.086}]","[0.0351, -0.0553, -0.0099, -0.0086, 0.04, 0.0306, 0.0054, 0.0313]",spray_drying,0.73,"[{""parameter"": ""inlet_temp_c"", ""value"": 100.14}, {""parameter"": ""outlet_temp_c"", ""value"": 72.47}, {""parameter"": ""feed_conc_pct"", ""value"": 5.03}, {""parameter"": ""atomization_pressure_bar"", ""value"": 3.67}]","[{""technique"": ""coprecipitation"", ""confidence"": 0.604}, {""technique"": ""nanosuspension"", ""confidence"": 0.497}]",0.26,high_residual_solvent_risk,amorphous_solid_dispersion
AB-2581,Clotrimazole,C(c1ccccc1)(c1ccccc1)(c1ccccc1)n1ccnc1,344.07,6.3,[],-5.41,II,151.9,,low,low,40.3,0.37,0.51,1.2,29.3,100,98.0,Cremophor EL,surfactant,2,0.78,0.72,0.7,"{""wavenumbers"": [753, 913, 1049, 1241, 1461, 1607, 1731, 2958, 3299], ""absorbance"": [0.703, 0.171, 0.128, 0.887, 0.902, 0.668, 0.183, 0.826, 0.166], ""mw_ref"": 344.07}",0.96,0.05,0.75,"{""min"": 1, ""max"": 13, ""unit"": ""% w/w""}",False,"[{""excipient"": ""SDS"", ""compatibility_score"": 0.625}, {""excipient"": ""Span 80"", ""compatibility_score"": 0.612}]","[{""excipient"": ""Gelucire 44/14"", ""rejection_reason"": ""thermodynamic_incompatibility_chi_exceeds_threshold"", ""chi_parameter"": 1.323}, {""excipient"": ""SDS"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 2.945}]","[0.0067, -0.02, 0.0303, -0.0102, 0.0192, 0.018, -0.0741, 0.1215]",nanosuspension,0.706,"[{""parameter"": ""milling_speed_rpm"", ""value"": 1793.4}, {""parameter"": ""milling_time_h"", ""value"": 3.65}, {""parameter"": ""stabilizer_conc_pct"", ""value"": 1.71}, {""parameter"": ""particle_size_target_nm"", ""value"": 386.15}]","[{""technique"": ""lipid_based_formulation"", ""confidence"": 0.461}, {""technique"": ""coprecipitation"", ""confidence"": 0.806}]",0.28,polymorphic_conversion_under_stress,nanosizing
AB-2582,Fluconazole,OC(Cn1ccnc1)(Cn1ccnc1)c1ccc(F)cc1F,307.4,-0.03,[],-1.23,I,140.6,,low,low,58.9,0.48,0.63,1.35,23.5,100,48.5,Starch 1500,filler_binder,2,0.74,0.7,0.68,"{""wavenumbers"": [736, 906, 1044, 1252, 1435, 1629, 1712, 2952, 3303], ""absorbance"": [0.635, 0.488, 0.957, 0.087, 0.693, 0.089, 0.215, 0.912, 0.09], ""mw_ref"": 307.4}",0.84,0.12,0.7,"{""min"": 30, ""max"": 71, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Lactose monohydrate"", ""compatibility_score"": 0.824}, {""excipient"": ""HPC LF"", ""compatibility_score"": 0.791}]","[{""excipient"": ""Lactose monohydrate"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 1.282}, {""excipient"": ""MCC PH101"", ""rejection_reason"": ""hygroscopicity_induced_phase_separation"", ""chi_parameter"": 2.746}]","[0.0282, -0.0246, 0.0071, -0.0253, 0.019, 0.0053, 0.1594, -0.0149]",wet_granulation,0.647,"[{""parameter"": ""granulation_liquid_pct"", ""value"": 13.45}, {""parameter"": ""impeller_speed_rpm"", ""value"": 319.73}, {""parameter"": ""granulation_time_min"", ""value"": 12.13}, {""parameter"": ""drying_temp_c"", ""value"": 43.0}]","[{""technique"": ""direct_compression"", ""confidence"": 0.746}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.526}]",0.23,acid_base_interaction_proton_transfer,crystalline_suspension
AB-2583,Fluconazole,OC(Cn1ccnc1)(Cn1ccnc1)c1ccc(F)cc1F,306.38,0.38,[],-1.25,I,135.7,,low,low,49.4,0.46,0.62,1.36,23.6,100,52.9,HPC LF,filler_binder,2,0.8,0.76,0.72,"{""wavenumbers"": [757, 897, 1056, 1249, 1453, 1613, 1731, 2938, 3309], ""absorbance"": [0.161, 0.697, 0.761, 0.312, 0.588, 0.176, 0.314, 0.154, 0.651], ""mw_ref"": 306.38}",0.89,0.01,0.78,"{""min"": 30, ""max"": 60, ""unit"": ""% w/w""}",True,"[{""excipient"": ""MCC PH101"", ""compatibility_score"": 0.754}, {""excipient"": ""Mannitol"", ""compatibility_score"": 0.798}]","[{""excipient"": ""DCPA"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 2.786}, {""excipient"": ""Mannitol"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 2.725}]","[-0.0062, 0.0392, 0.0035, 0.0, -0.0086, 0.013, 0.0061, -0.0142]",direct_compression,0.722,"[{""parameter"": ""compression_force_kn"", ""value"": 10.1}, {""parameter"": ""tablet_hardness_n"", ""value"": 68.85}, {""parameter"": ""disintegration_target_min"", ""value"": 7.78}, {""parameter"": ""punch_speed_rpm"", ""value"": 51.3}]","[{""technique"": ""wet_granulation"", ""confidence"": 0.706}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.673}]",0.83,,crystalline_suspension
AB-2584,Acyclovir,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,224.96,-1.37,"[2.3, 9.3]",-1.48,III,256.0,,medium,low,71.7,0.49,0.65,1.45,22.6,400,57.8,HPC LF,filler_binder,3,0.69,0.68,0.61,"{""wavenumbers"": [758, 885, 1059, 1262, 1453, 1626, 1718, 2956, 3304], ""absorbance"": [0.916, 0.778, 0.817, 0.84, 0.32, 0.233, 0.503, 0.525, 0.82], ""mw_ref"": 224.96}",0.72,0.09,0.69,"{""min"": 30, ""max"": 65, ""unit"": ""% w/w""}",False,"[{""excipient"": ""MCC PH101"", ""compatibility_score"": 0.809}, {""excipient"": ""Lactose monohydrate"", ""compatibility_score"": 0.766}]","[{""excipient"": ""Mannitol"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 2.455}, {""excipient"": ""Lactose monohydrate"", ""rejection_reason"": ""hygroscopicity_induced_phase_separation"", ""chi_parameter"": 2.319}]","[-0.0377, 0.0071, 0.0292, 0.0031, 0.0396, -0.0128, 0.0292, 0.0076]",wet_granulation,0.665,"[{""parameter"": ""granulation_liquid_pct"", ""value"": 23.13}, {""parameter"": ""impeller_speed_rpm"", ""value"": 142.18}, {""parameter"": ""granulation_time_min"", ""value"": 14.3}, {""parameter"": ""drying_temp_c"", ""value"": 53.14}]","[{""technique"": ""direct_compression"", ""confidence"": 0.57}]",0.47,hygroscopicity_induced_phase_separation,crystalline_suspension
AB-2585,Paracetamol,CC(=O)Nc1ccc(O)cc1,151.02,0.32,[9.4],-0.69,I,245.2,,low,low,60.1,0.49,0.68,1.44,22.3,500,52.9,Starch 1500,filler_binder,2,0.73,0.67,0.61,"{""wavenumbers"": [744, 889, 1063, 1246, 1455, 1631, 1712, 2935, 3310], ""absorbance"": [0.597, 0.364, 0.502, 0.774, 0.44, 0.198, 0.158, 0.285, 0.622], ""mw_ref"": 151.02}",0.94,0.11,0.73,"{""min"": 30, ""max"": 41, ""unit"": ""% w/w""}",False,"[{""excipient"": ""DCPA"", ""compatibility_score"": 0.749}, {""excipient"": ""MCC PH101"", ""compatibility_score"": 0.795}]","[{""excipient"": ""HPC LF"", ""rejection_reason"": ""high_residual_solvent_risk"", ""chi_parameter"": 1.591}, {""excipient"": ""Lactose monohydrate"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 1.217}]","[0.0144, -0.0257, 0.0074, -0.0705, 0.0059, -0.0702, -0.0909, 0.0033]",wet_granulation,0.712,"[{""parameter"": ""granulation_liquid_pct"", ""value"": 17.42}, {""parameter"": ""impeller_speed_rpm"", ""value"": 101.08}, {""parameter"": ""granulation_time_min"", ""value"": 8.9}, {""parameter"": ""drying_temp_c"", ""value"": 54.53}]","[{""technique"": ""direct_compression"", ""confidence"": 0.785}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.676}]",0.3,polymorphic_conversion_under_stress,crystalline_suspension
AB-2586,Nifedipine,COC(=O)C1=C(N/C(=C(/C1=O)C(=O)OC)c1ccccc1[N+](=O)[O-])C,346.54,3.18,[],-3.11,II,170.9,,low,medium,35.7,0.36,0.51,1.28,28.5,30,96.3,Eudragit EPO,polymer_carrier,2,0.83,0.87,0.85,"{""wavenumbers"": [747, 905, 1052, 1247, 1435, 1616, 1728, 2951, 3296], ""absorbance"": [0.636, 0.232, 0.481, 0.206, 0.576, 0.265, 0.259, 0.849, 0.721], ""mw_ref"": 346.54}",0.76,0.29,0.85,"{""min"": 20, ""max"": 40, ""unit"": ""% w/w""}",True,"[{""excipient"": ""Copovidone"", ""compatibility_score"": 0.789}, {""excipient"": ""Soluplus"", ""compatibility_score"": 0.818}]","[{""excipient"": ""PVP K30"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 3.321}, {""excipient"": ""Kollidon VA 64"", ""rejection_reason"": ""pH_incompatibility_solubility_precipitation"", ""chi_parameter"": 2.046}]","[0.0135, 0.0646, -0.019, 0.0077, 0.0014, 0.0175, 0.0964, 0.0046]",coprecipitation,0.8,"[{""parameter"": ""antisolvent_ratio"", ""value"": 13.36}, {""parameter"": ""precipitation_temp_c"", ""value"": 20.33}, {""parameter"": ""drying_time_h"", ""value"": 31.06}, {""parameter"": ""polymer_drug_ratio"", ""value"": 2.65}]","[{""technique"": ""hot_melt_extrusion"", ""confidence"": 0.762}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.628}]",0.68,,amorphous_solid_dispersion
AB-2587,Glibenclamide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,493.71,4.8,[5.3],-4.6,II,173.8,,low,low,23.6,0.24,0.45,1.2,28.7,5,98.0,Soluplus,polymer_carrier,1,0.86,0.86,0.83,"{""wavenumbers"": [735, 888, 1042, 1262, 1443, 1627, 1732, 2953, 3301], ""absorbance"": [0.866, 0.457, 0.851, 0.473, 0.937, 0.946, 0.658, 0.45, 0.825], ""mw_ref"": 493.71}",0.9,0.09,0.83,"{""min"": 20, ""max"": 49, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Kollidon VA 64"", ""compatibility_score"": 0.909}, {""excipient"": ""HPMC-AS HF"", ""compatibility_score"": 0.765}]","[{""excipient"": ""Kollidon VA 64"", ""rejection_reason"": ""high_residual_solvent_risk"", ""chi_parameter"": 2.729}, {""excipient"": ""HPMC-AS MF"", ""rejection_reason"": ""acid_base_interaction_proton_transfer"", ""chi_parameter"": 2.366}]","[0.0253, 0.0325, 0.0095, 0.0169, 0.0124, 0.0895, 0.0639, 0.0262]",spray_drying,0.777,"[{""parameter"": ""inlet_temp_c"", ""value"": 117.68}, {""parameter"": ""outlet_temp_c"", ""value"": 61.88}, {""parameter"": ""feed_conc_pct"", ""value"": 12.15}, {""parameter"": ""atomization_pressure_bar"", ""value"": 2.54}]","[{""technique"": ""coprecipitation"", ""confidence"": 0.723}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.77}]",0.23,chemical_reactivity_esterification_risk,amorphous_solid_dispersion
AB-2588,Fenofibrate,CCOC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c1ccc(Cl)cc1,360.65,5.18,[],-5.18,II,181.2,,low,low,30.2,0.32,0.48,1.22,28.6,145,98.0,PVPVA 64,polymer_carrier,1,0.89,0.86,0.84,"{""wavenumbers"": [753, 907, 1035, 1243, 1452, 1609, 1717, 2947, 3309], ""absorbance"": [0.086, 0.942, 0.197, 0.39, 0.726, 0.788, 0.443, 0.62, 0.323], ""mw_ref"": 360.65}",0.96,0.02,0.85,"{""min"": 20, ""max"": 38, ""unit"": ""% w/w""}",True,"[{""excipient"": ""HPMC E5"", ""compatibility_score"": 0.727}, {""excipient"": ""HPMC-AS MF"", ""compatibility_score"": 0.794}]","[{""excipient"": ""HPMC-AS MF"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 1.911}, {""excipient"": ""HPMC E15"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 1.532}]","[0.0368, 0.0045, 0.0056, 0.0055, 0.1026, 0.0461, -0.0011, 0.0371]",coprecipitation,0.804,"[{""parameter"": ""antisolvent_ratio"", ""value"": 7.62}, {""parameter"": ""precipitation_temp_c"", ""value"": 7.24}, {""parameter"": ""drying_time_h"", ""value"": 39.46}, {""parameter"": ""polymer_drug_ratio"", ""value"": 1.36}]","[{""technique"": ""spray_drying"", ""confidence"": 0.688}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.72}]",0.22,,amorphous_solid_dispersion
AB-2589,Glibenclamide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,494.14,4.75,[5.3],-4.51,II,172.5,,low,low,28.1,0.3,0.43,1.21,29.6,5,98.0,PVP K17,polymer_carrier,2,0.79,0.77,0.7,"{""wavenumbers"": [748, 901, 1035, 1254, 1440, 1611, 1724, 2939, 3295], ""absorbance"": [0.399, 0.352, 0.622, 0.927, 0.252, 0.298, 0.605, 0.822, 0.293], ""mw_ref"": 494.14}",0.88,0.07,0.8,"{""min"": 20, ""max"": 62, ""unit"": ""% w/w""}",True,"[{""excipient"": ""HPMC E15"", ""compatibility_score"": 0.771}, {""excipient"": ""PVPVA 64"", ""compatibility_score"": 0.841}]","[{""excipient"": ""HPMC-AS MF"", ""rejection_reason"": ""polymorphic_conversion_under_stress"", ""chi_parameter"": 1.154}, {""excipient"": ""HPMC-AS LF"", ""rejection_reason"": ""pH_incompatibility_solubility_precipitation"", ""chi_parameter"": 3.436}]","[0.0115, 0.0619, 0.0136, 0.0001, 0.0209, 0.0097, 0.003, -0.0322]",hot_melt_extrusion,0.783,"[{""parameter"": ""barrel_temp_c"", ""value"": 130.31}, {""parameter"": ""screw_speed_rpm"", ""value"": 199.29}, {""parameter"": ""feed_rate_g_min"", ""value"": 14.89}, {""parameter"": ""residence_time_min"", ""value"": 4.4}]","[{""technique"": ""hot_melt_coating"", ""confidence"": 0.613}, {""technique"": ""spray_drying"", ""confidence"": 0.657}]",0.58,,amorphous_solid_dispersion
AB-2590,Cimetidine,CN/C(=N/C#N)NCCSc1nc[nH]c1C,252.74,0.46,"[7.1, 6.8]",-0.81,III,144.6,,medium,low,62.1,0.54,0.66,1.41,23.6,400,48.0,DCPA,filler_binder,2,0.74,0.73,0.69,"{""wavenumbers"": [752, 906, 1050, 1261, 1454, 1607, 1716, 2941, 3305], ""absorbance"": [0.366, 0.716, 0.792, 0.767, 0.562, 0.333, 0.345, 0.563, 0.738], ""mw_ref"": 252.74}",0.75,0.08,0.77,"{""min"": 30, ""max"": 64, ""unit"": ""% w/w""}",False,"[{""excipient"": ""HPC LF"", ""compatibility_score"": 0.774}, {""excipient"": ""MCC PH101"", ""compatibility_score"": 0.79}]","[{""excipient"": ""MCC PH101"", ""rejection_reason"": ""polymorphic_conversion_under_stress"", ""chi_parameter"": 1.55}, {""excipient"": ""Lactose monohydrate"", ""rejection_reason"": ""pH_incompatibility_solubility_precipitation"", ""chi_parameter"": 1.925}]","[0.0007, 0.0112, 0.0241, -0.0026, 0.024, 0.0002, 0.1055, -0.028]",direct_compression,0.733,"[{""parameter"": ""compression_force_kn"", ""value"": 7.76}, {""parameter"": ""tablet_hardness_n"", ""value"": 182.66}, {""parameter"": ""disintegration_target_min"", ""value"": 18.61}, {""parameter"": ""punch_speed_rpm"", ""value"": 28.98}]","[{""technique"": ""wet_granulation"", ""confidence"": 0.535}]",0.4,high_residual_solvent_risk,crystalline_suspension
AB-2591,Chlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)SNC(=O)N2,295.89,-0.29,"[6.7, 9.5]",-3.12,IV,361.5,,low,medium,41.3,0.37,0.53,1.25,29.8,250,82.5,Tween 80,surfactant,3,0.63,0.57,0.5,"{""wavenumbers"": [738, 898, 1045, 1249, 1464, 1612, 1705, 2944, 3291], ""absorbance"": [0.507, 0.943, 0.423, 0.383, 0.45, 0.844, 0.264, 0.932, 0.786], ""mw_ref"": 295.89}",0.9,0.24,0.64,"{""min"": 1, ""max"": 11, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Poloxamer 188"", ""compatibility_score"": 0.745}, {""excipient"": ""SDS"", ""compatibility_score"": 0.685}]","[{""excipient"": ""Poloxamer 188"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 2.425}, {""excipient"": ""Poloxamer 407"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 3.144}]","[-0.0107, 0.0074, 0.0239, 0.0424, 0.0028, 0.0022, 0.0091, 0.0148]",nanosuspension,0.608,"[{""parameter"": ""milling_speed_rpm"", ""value"": 2941.14}, {""parameter"": ""milling_time_h"", ""value"": 3.2}, {""parameter"": ""stabilizer_conc_pct"", ""value"": 1.97}, {""parameter"": ""particle_size_target_nm"", ""value"": 281.98}]","[{""technique"": ""coprecipitation"", ""confidence"": 0.667}, {""technique"": ""lipid_based_formulation"", ""confidence"": 0.46}]",0.41,pH_incompatibility_solubility_precipitation,nanosizing
AB-2592,Metformin,CN(C)C(=N)NC(=N)N,129.88,-6.02,"[2.8, 11.5]",0.86,III,234.3,,medium,low,85.1,0.57,0.76,1.47,22.5,500,24.3,DCPA,filler_binder,3,0.6,0.5,0.5,"{""wavenumbers"": [735, 910, 1058, 1236, 1446, 1618, 1729, 2963, 3313], ""absorbance"": [0.164, 0.065, 0.155, 0.666, 0.715, 0.988, 0.675, 0.68, 0.924], ""mw_ref"": 129.88}",0.77,0.05,0.61,"{""min"": 30, ""max"": 58, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Lactose monohydrate"", ""compatibility_score"": 0.736}, {""excipient"": ""Starch 1500"", ""compatibility_score"": 0.734}]","[{""excipient"": ""MCC PH101"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 1.63}, {""excipient"": ""Lactose monohydrate"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 1.886}]","[-0.0037, -0.0005, 0.0151, -0.0017, 0.025, 0.0115, 0.014, -0.0081]",direct_compression,0.609,"[{""parameter"": ""compression_force_kn"", ""value"": 28.71}, {""parameter"": ""tablet_hardness_n"", ""value"": 154.09}, {""parameter"": ""disintegration_target_min"", ""value"": 14.86}, {""parameter"": ""punch_speed_rpm"", ""value"": 69.08}]","[{""technique"": ""wet_granulation"", ""confidence"": 0.65}]",0.77,melting_point_depression_below_processing_window,crystalline_suspension
AB-2593,Celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(N)cc2)cc1,381.69,3.67,[11.1],-3.3,II,205.8,,low,medium,54.8,0.45,0.59,1.33,26.6,200,90.8,Eudragit EPO,polymer_carrier,2,0.82,0.8,0.77,"{""wavenumbers"": [737, 896, 1058, 1259, 1461, 1621, 1707, 2938, 3307], ""absorbance"": [0.95, 0.388, 0.638, 0.506, 0.609, 0.587, 0.811, 0.911, 0.509], ""mw_ref"": 381.69}",0.96,0.25,0.8,"{""min"": 20, ""max"": 50, ""unit"": ""% w/w""}",True,"[{""excipient"": ""PVP K30"", ""compatibility_score"": 0.793}, {""excipient"": ""Kollidon VA 64"", ""compatibility_score"": 0.846}]","[{""excipient"": ""HPMC E5"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 2.518}, {""excipient"": ""PVPVA 64"", ""rejection_reason"": ""pH_incompatibility_solubility_precipitation"", ""chi_parameter"": 3.139}]","[0.0023, 0.0004, 0.0132, -0.005, -0.0028, 0.0106, 0.0177, 0.0015]",spray_drying,0.748,"[{""parameter"": ""inlet_temp_c"", ""value"": 119.34}, {""parameter"": ""outlet_temp_c"", ""value"": 82.62}, {""parameter"": ""feed_conc_pct"", ""value"": 5.27}, {""parameter"": ""atomization_pressure_bar"", ""value"": 2.52}]","[{""technique"": ""hot_melt_coating"", ""confidence"": 0.606}, {""technique"": ""lipid_based_formulation"", ""confidence"": 0.503}]",0.26,,amorphous_solid_dispersion
AB-2594,Clotrimazole,C(c1ccccc1)(c1ccccc1)(c1ccccc1)n1ccnc1,344.88,6.08,[],-5.59,II,143.3,,low,low,40.9,0.35,0.47,1.2,29.0,100,98.0,Eudragit EPO,polymer_carrier,2,0.76,0.71,0.68,"{""wavenumbers"": [745, 900, 1040, 1259, 1445, 1610, 1732, 2962, 3285], ""absorbance"": [0.901, 0.286, 0.77, 0.245, 0.912, 0.466, 0.78, 0.136, 0.891], ""mw_ref"": 344.88}",0.91,0.06,0.76,"{""min"": 20, ""max"": 80, ""unit"": ""% w/w""}",False,"[{""excipient"": ""Copovidone"", ""compatibility_score"": 0.789}, {""excipient"": ""HPMC-AS LF"", ""compatibility_score"": 0.818}]","[{""excipient"": ""HPMC-AS MF"", ""rejection_reason"": ""acid_base_interaction_proton_transfer"", ""chi_parameter"": 0.976}, {""excipient"": ""Kollidon VA 64"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 3.087}]","[0.0034, 0.0029, 0.065, -0.0576, 0.0168, 0.0004, 0.0239, 0.0398]",spray_drying,0.722,"[{""parameter"": ""inlet_temp_c"", ""value"": 118.34}, {""parameter"": ""outlet_temp_c"", ""value"": 63.16}, {""parameter"": ""feed_conc_pct"", ""value"": 10.92}, {""parameter"": ""atomization_pressure_bar"", ""value"": 3.48}]","[{""technique"": ""hot_melt_extrusion"", ""confidence"": 0.743}, {""technique"": ""nanosuspension"", ""confidence"": 0.699}]",0.44,moisture_uptake_amorphous_collapse,amorphous_solid_dispersion
AB-2595,Indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,358.47,4.46,[4.5],-4.04,II,195.9,,low,high,37.3,0.38,0.51,1.29,27.5,25,98.0,TBC,plasticizer,2,0.72,0.71,0.67,"{""wavenumbers"": [736, 899, 1038, 1258, 1435, 1606, 1706, 2936, 3287], ""absorbance"": [0.067, 0.753, 0.877, 0.965, 0.358, 0.302, 0.268, 0.718, 0.448], ""mw_ref"": 358.47}",0.94,0.49,0.71,"{""min"": 5, ""max"": 22, ""unit"": ""% w/w""}",False,"[{""excipient"": ""PEG 4000"", ""compatibility_score"": 0.69}, {""excipient"": ""TEC"", ""compatibility_score"": 0.8}]","[{""excipient"": ""PEG 4000"", ""rejection_reason"": ""oxidative_degradation_peroxide_content"", ""chi_parameter"": 2.725}, {""excipient"": ""TEC"", ""rejection_reason"": ""thermodynamic_incompatibility_chi_exceeds_threshold"", ""chi_parameter"": 2.466}]","[0.038, 0.0297, -0.0163, -0.0187, -0.0417, 0.0186, 0.0223, -0.0033]",hot_melt_coating,0.689,"[{""parameter"": ""coating_temp_c"", ""value"": 72.11}, {""parameter"": ""spray_rate_g_min"", ""value"": 9.6}, {""parameter"": ""pan_speed_rpm"", ""value"": 26.18}, {""parameter"": ""coating_weight_gain_pct"", ""value"": 11.22}]","[{""technique"": ""hot_melt_extrusion"", ""confidence"": 0.67}, {""technique"": ""nanosuspension"", ""confidence"": 0.817}]",0.57,high_residual_solvent_risk,solid_solution
AB-2596,Ketoprofen,CC(C(=O)O)c1ccc(cc1)C(=O)c1ccccc1,254.41,2.95,[4.5],-2.56,II,99.9,,low,low,41.6,0.36,0.51,1.21,26.6,100,86.6,HPMC E15,polymer_carrier,2,0.79,0.75,0.76,"{""wavenumbers"": [756, 904, 1041, 1264, 1437, 1614, 1723, 2937, 3311], ""absorbance"": [0.697, 0.701, 0.24, 0.104, 0.295, 0.527, 0.857, 0.576, 0.775], ""mw_ref"": 254.41}",0.88,0.1,0.79,"{""min"": 20, ""max"": 64, ""unit"": ""% w/w""}",False,"[{""excipient"": ""PVP K30"", ""compatibility_score"": 0.747}, {""excipient"": ""HPMC-AS LF"", ""compatibility_score"": 0.817}]","[{""excipient"": ""HPMC-AS HF"", ""rejection_reason"": ""melting_point_depression_below_processing_window"", ""chi_parameter"": 1.072}, {""excipient"": ""HPMC-AS MF"", ""rejection_reason"": ""moisture_uptake_amorphous_collapse"", ""chi_parameter"": 1.995}]","[0.0178, 0.0059, 0.0154, -0.0, -0.0093, -0.0217, -0.0046, 0.0245]",spray_drying,0.752,"[{""parameter"": ""inlet_temp_c"", ""value"": 105.16}, {""parameter"": ""outlet_temp_c"", ""value"": 61.84}, {""parameter"": ""feed_conc_pct"", ""value"": 14.29}, {""parameter"": ""atomization_pressure_bar"", ""value"": 1.53}]","[{""technique"": ""coprecipitation"", ""confidence"": 0.699}, {""technique"": ""hot_melt_coating"", ""confidence"": 0.775}]",0.69,high_residual_solvent_risk,amorphous_solid_dispersion
